case,session,phase,outcome
1,1,A,2
1,2,A,2
1,3,A,3
1,4,B,3
1,5,B,4
1,6,B,4
1,7,B,7
1,8,B,6
1,9,B,7
1,10,B,7
1,11,B,7
1,12,B,7
1,13,B,7
1,14,B,7
2,1,A,1
2,2,A,2
2,3,A,0
2,4,B,4
2,5,B,3
2,6,B,3
2,7,B,6
2,8,B,5
2,9,B,7
2,10,B,5
2,11,B,6
2,12,B,6
2,13,B,7
2,14,B,6
2,15,B,4
2,16,B,7
2,17,B,7
2,18,B,6
2,19,B,7
3,1,A,2
3,2,A,4
3,3,A,3
3,4,A,4
3,5,A,4
3,6,A,3
3,7,B,0
3,8,B,0
3,9,B,0
3,10,B,7
3,11,B,7
3,12,B,5
3,13,B,6
3,14,B,7
3,15,B,5
3,16,B,7
3,17,B,6
4,1,A,0
4,2,A,2
4,3,A,3
4,4,A,3
4,5,A,4
4,6,A,3
4,7,A,1
4,8,A,3
4,9,A,5
4,10,A,7
4,11,A,2
4,12,A,0
4,13,B,0
4,14,B,0
4,15,B,0
4,16,B,7
4,17,B,7
4,18,B,7
