case,session,phase,outcome
1,1,A,0
1,2,A,0
1,3,A,0
1,4,B,0
1,5,B,13
1,6,B,0
1,7,B,0
1,8,B,0
1,9,B,34
1,10,B,19
1,11,B,34
1,12,B,19
1,13,B,8
1,14,B,0
1,15,B,14
1,16,B,35
1,17,B,23
1,18,B,40
1,19,B,81
2,1,A,12
2,2,A,0
2,3,A,0
2,4,B,0
2,5,B,0
2,6,B,15
2,7,B,0
2,8,B,0
2,9,B,5
2,10,B,19
2,11,B,19
2,12,B,18
2,13,B,15
2,14,B,0
2,15,B,0
2,16,B,49
2,17,B,52
2,18,B,80
2,19,B,100
3,1,A,10
3,2,A,10
3,3,A,0
3,4,B,0
3,5,B,0
3,6,B,18
3,7,B,0
3,8,B,9
3,9,B,18
3,10,B,24
3,11,B,30
3,12,B,27
3,13,B,48
3,14,B,35
3,15,B,20
3,16,B,48
3,17,B,50
3,18,B,88
3,19,B,93
