case,session,phase,outcome
1,1,A,0
1,2,A,0
1,3,A,2
1,4,A,0
1,5,A,2
1,6,B,6
1,7,B,6
1,8,B,5
1,9,B,9
1,10,B,8
2,1,A,2
2,2,A,2
2,3,A,8
2,4,A,2
2,5,A,2
2,6,A,4
2,7,B,9
2,8,B,10
2,9,B,10
2,10,B,10
2,11,B,10
3,1,A,0
3,2,A,0
3,3,A,1
3,4,A,2
3,5,A,3
3,6,A,3
3,7,A,2
3,8,B,8
3,9,B,8
3,10,B,10
3,11,B,8
3,12,B,10
4,1,A,0
4,2,A,1
4,3,A,2
4,4,A,0
4,5,A,0
4,6,B,6
4,7,B,8
4,8,B,6
4,9,B,8
4,10,B,8
5,1,A,0
5,2,A,0
5,3,A,0
5,4,A,0
5,5,A,0
5,6,A,0
5,7,B,7
5,8,B,8
5,9,B,8
5,10,B,9
5,11,B,9
6,1,A,0
6,2,A,0
6,3,A,0
6,4,A,0
6,5,A,0
6,6,A,0
6,7,A,0
6,8,B,7
6,9,B,8
6,10,B,10
6,11,B,7
6,12,B,9
