case,session,phase,outcome
1,1,A,0
1,2,A,0
1,3,A,0
1,4,A,0
1,5,A,0
1,6,B,37
1,7,B,40
1,8,B,34
1,9,B,46
1,10,B,46
2,1,A,0
2,2,A,0
2,3,A,0
2,4,A,0
2,5,A,0
2,6,A,3
2,7,B,49
2,8,B,49
2,9,B,49
2,10,B,50
2,11,B,49
3,1,A,0
3,2,A,0
3,3,A,0
3,4,A,0
3,5,A,0
3,6,A,5
3,7,A,6
3,8,B,49
3,9,B,50
3,10,B,48
3,11,B,47
3,12,B,49
4,1,A,0
4,2,A,0
4,3,A,0
4,4,A,0
4,5,A,0
4,6,B,45
4,7,B,40
4,8,B,40
4,9,B,41
4,10,B,40
5,1,A,0
5,2,A,0
5,3,A,0
5,4,A,0
5,5,A,0
5,6,A,0
5,7,B,41
5,8,B,44
5,9,B,45
5,10,B,45
5,11,B,45
6,1,A,0
6,2,A,0
6,3,A,0
6,4,A,0
6,5,A,0
6,6,A,3
6,7,A,5
6,8,B,44
6,9,B,44
6,10,B,46
6,11,B,43
6,12,B,47
