case,session,phase,outcome
1,1,A,2
1,2,A,3
1,3,A,3
1,4,B,6
1,5,B,6
1,6,B,6
1,7,B,4
1,8,B,3
1,9,B,6
1,10,B,6
1,11,B,6
1,12,B,6
1,13,B,6
1,14,B,6
2,1,A,2
2,2,A,3
2,3,A,4
2,4,A,4
2,5,A,4
2,6,A,3
2,7,A,1
2,8,B,6
2,9,B,6
2,10,B,6
2,11,B,4
2,12,B,3
2,13,B,6
2,14,B,6
2,15,B,6
2,16,B,6
2,17,B,6
3,1,A,2
3,2,A,3
3,3,A,3
3,4,A,2
3,5,A,1
3,6,B,6
3,7,B,6
3,8,B,6
3,9,B,6
3,10,B,5
3,11,B,6
3,12,B,6
3,13,B,6
3,14,B,6
3,15,B,6
4,1,A,2
4,2,A,2
4,3,A,3
4,4,A,0
4,5,B,6
4,6,B,6
4,7,B,6
4,8,B,4
4,9,B,5
4,10,B,6
4,11,B,6
4,12,B,6
4,13,B,6
4,14,B,6
