case,session,phase,outcome
1,1,A,20
1,2,A,10
1,3,A,30
1,4,B,100
1,5,B,87
1,6,B,99
1,7,B,87
1,8,B,99
1,9,B,99
1,10,B,42
1,11,B,100
1,12,B,86
1,13,B,98
1,14,B,98
1,15,B,99
1,16,B,94
1,17,B,95
1,18,B,79
2,1,A,25
2,2,A,25
2,3,A,40
2,4,B,100
2,5,B,88
2,6,B,50
2,7,B,101
2,8,B,101
2,9,B,44
2,10,B,101
2,11,B,100
2,12,B,75
2,13,B,101
2,14,B,101
2,15,B,89
2,16,B,56
2,17,B,94
3,1,A,35
3,2,A,20
3,3,A,28
3,4,B,100
3,5,B,100
3,6,B,67
3,7,B,100
3,8,B,100
3,9,B,38
3,10,B,89
3,11,B,86
3,12,B,99
3,13,B,99
3,14,B,100
3,15,B,87
3,16,B,87
3,17,B,94
