case,session,phase,outcome
1,1,A,3
1,2,A,3
1,3,A,61
1,4,A,3
1,5,B,99
1,6,B,98
1,7,B,89
1,8,B,100
1,9,B,100
1,10,B,91
2,1,A,73
2,2,A,73
2,3,A,14
2,4,A,100
2,5,A,49
2,6,B,91
2,7,B,100
2,8,B,82
2,9,B,83
2,10,B,91
2,11,B,100
3,1,A,50
3,2,A,75
3,3,A,18
3,4,A,18
3,5,A,20
3,6,B,98
3,7,B,98
3,8,B,90
3,9,B,82
3,10,B,81
3,11,B,100
4,1,A,11
4,2,A,20
4,3,A,36
4,4,A,21
4,5,B,82
4,6,B,100
4,7,B,99
4,8,B,99
4,9,B,97
4,10,B,98
5,1,A,51
5,2,A,4
5,3,A,4
5,4,A,3
5,5,A,3
5,6,B,91
5,7,B,82
5,8,B,100
5,9,B,100
5,10,B,91
5,11,B,100
6,1,A,29
6,2,A,49
6,3,A,56
6,4,A,57
6,5,A,57
6,6,B,92
6,7,B,99
6,8,B,83
6,9,B,88
6,10,B,100
6,11,B,100
