case,session,phase,outcome
1,1,A,31
1,2,A,54
1,3,A,56
1,4,A,57
1,5,B,96
1,6,B,97
1,7,B,97
1,8,B,96
1,9,B,95
1,10,B,87
2,1,A,65
2,2,A,66
2,3,A,35
2,4,A,100
2,5,A,58
2,6,B,87
2,7,B,97
2,8,B,93
2,9,B,98
2,10,B,86
2,11,B,99
3,1,A,24
3,2,A,25
3,3,A,50
3,4,A,100
3,5,A,100
3,6,B,92
3,7,B,96
3,8,B,96
3,9,B,87
3,10,B,88
3,11,B,98
4,1,A,85
4,2,A,14
4,3,A,27
4,4,A,12
4,5,B,88
4,6,B,93
4,7,B,96
4,8,B,96
4,9,B,92
4,10,B,92
5,1,A,57
5,2,A,56
5,3,A,68
5,4,A,52
5,5,A,62
5,6,B,87
5,7,B,87
5,8,B,99
5,9,B,98
5,10,B,95
5,11,B,100
6,1,A,23
6,2,A,56
6,3,A,77
6,4,A,67
6,5,A,96
6,6,B,89
6,7,B,92
6,8,B,92
6,9,B,82
6,10,B,96
6,11,B,93
