case,session,phase,outcome
1,1,A,2
1,2,A,2
1,3,A,2
1,4,A,2
1,5,B,100
1,6,B,92
1,7,B,99
1,8,B,99
1,9,B,99
1,10,B,100
2,1,A,6
2,2,A,51
2,3,A,23
2,4,A,25
2,5,A,23
2,6,B,90
2,7,B,100
2,8,B,100
2,9,B,100
2,10,B,100
2,11,B,100
3,1,A,13
3,2,A,2
3,3,A,20
3,4,A,20
3,5,A,6
3,6,B,99
3,7,B,99
3,8,B,99
3,9,B,98
3,10,B,100
3,11,B,99
4,1,A,19
4,2,A,27
4,3,A,19
4,4,A,18
4,5,B,99
4,6,B,99
4,7,B,98
4,8,B,99
4,9,B,99
4,10,B,99
5,1,A,2
5,2,A,2
5,3,A,2
5,4,A,2
5,5,A,2
5,6,B,100
5,7,B,91
5,8,B,100
5,9,B,100
5,10,B,90
5,11,B,89
