case,session,phase,outcome
1,1,A,75
1,2,A,75
1,3,A,100
1,4,A,55
1,5,B,95
1,6,B,98
1,7,B,96
1,8,B,97
1,9,B,95
1,10,B,96
2,1,A,1
2,2,A,16
2,3,A,16
2,4,A,22
2,5,A,9
2,6,B,95
2,7,B,98
2,8,B,99
2,9,B,99
2,10,B,99
2,11,B,99
3,1,A,77
3,2,A,20
3,3,A,48
3,4,A,79
3,5,A,4
3,6,B,95
3,7,B,96
3,8,B,97
3,9,B,97
3,10,B,96
3,11,B,97
4,1,A,26
4,2,A,43
4,3,A,27
4,4,A,33
4,5,B,96
4,6,B,93
4,7,B,95
4,8,B,97
4,9,B,95
4,10,B,96
5,1,A,44
5,2,A,39
5,3,A,29
5,4,A,38
5,5,A,60
5,6,B,98
5,7,B,96
5,8,B,98
5,9,B,99
5,10,B,95
5,11,B,98
