case,session,phase,outcome
1,1,A,2
1,2,A,2
1,3,A,2
1,4,A,2
1,5,B,83
1,6,B,87
1,7,B,91
1,8,B,90
1,9,B,86
1,10,B,91
2,1,A,4
2,2,A,11
2,3,A,26
2,4,A,6
2,5,A,26
2,6,B,89
2,7,B,100
2,8,B,100
2,9,B,100
2,10,B,100
2,11,B,83
3,1,A,60
3,2,A,2
3,3,A,9
3,4,A,34
3,5,A,2
3,6,B,98
3,7,B,97
3,8,B,99
3,9,B,91
3,10,B,91
3,11,B,99
4,1,A,20
4,2,A,9
4,3,A,36
4,4,A,19
4,5,B,100
4,6,B,92
4,7,B,94
4,8,B,92
4,9,B,98
4,10,B,93
5,1,A,6
5,2,A,6
5,3,A,2
5,4,A,2
5,5,A,2
5,6,B,100
5,7,B,95
5,8,B,100
5,9,B,94
5,10,B,100
5,11,B,87
