case,session,phase,outcome
1,1,A,75
1,2,A,99
1,3,A,32
1,4,A,70
1,5,B,89
1,6,B,82
1,7,B,84
1,8,B,87
1,9,B,82
1,10,B,87
2,1,A,1
2,2,A,27
2,3,A,6
2,4,A,3
2,5,A,22
2,6,B,94
2,7,B,98
2,8,B,100
2,9,B,99
2,10,B,100
2,11,B,87
3,1,A,76
3,2,A,57
3,3,A,56
3,4,A,97
3,5,A,56
3,6,B,95
3,7,B,95
3,8,B,90
3,9,B,98
3,10,B,99
3,11,B,96
4,1,A,35
4,2,A,21
4,3,A,25
4,4,A,46
4,5,B,96
4,6,B,90
4,7,B,88
4,8,B,88
4,9,B,95
4,10,B,89
5,1,A,3
5,2,A,3
5,3,A,31
5,4,A,49
5,5,A,35
5,6,B,100
5,7,B,91
5,8,B,97
5,9,B,100
5,10,B,92
5,11,B,84
