case,session,phase,outcome
1,1,A,1
1,2,A,1
1,3,A,23
1,4,A,1
1,5,B,100
1,6,B,92
1,7,B,92
1,8,B,99
1,9,B,100
1,10,B,94
2,1,A,6
2,2,A,60
2,3,A,98
2,4,A,25
2,5,A,12
2,6,B,97
2,7,B,81
2,8,B,81
2,9,B,81
2,10,B,100
2,11,B,96
3,1,A,24
3,2,A,76
3,3,A,35
3,4,A,51
3,5,A,34
3,6,B,92
3,7,B,91
3,8,B,83
3,9,B,94
3,10,B,92
3,11,B,84
4,1,A,10
4,2,A,35
4,3,A,36
4,4,A,20
4,5,B,99
4,6,B,90
4,7,B,92
4,8,B,91
4,9,B,99
4,10,B,91
5,1,A,26
5,2,A,4
5,3,A,2
5,4,A,2
5,5,A,2
5,6,B,100
5,7,B,92
5,8,B,100
5,9,B,100
5,10,B,94
5,11,B,96
