case,session,phase,outcome
1,1,A,56
1,2,A,55
1,3,A,5
1,4,A,52
1,5,B,93
1,6,B,87
1,7,B,95
1,8,B,96
1,9,B,95
1,10,B,88
2,1,A,4
2,2,A,66
2,3,A,66
2,4,A,6
2,5,A,51
2,6,B,92
2,7,B,87
2,8,B,89
2,9,B,86
2,10,B,96
2,11,B,93
3,1,A,57
3,2,A,35
3,3,A,31
3,4,A,66
3,5,A,53
3,6,B,87
3,7,B,96
3,8,B,77
3,9,B,84
3,10,B,88
3,11,B,89
4,1,A,78
4,2,A,25
4,3,A,22
4,4,A,13
4,5,B,95
4,6,B,95
4,7,B,87
4,8,B,89
4,9,B,97
4,10,B,89
5,1,A,21
5,2,A,36
5,3,A,31
5,4,A,24
5,5,A,34
5,6,B,83
5,7,B,97
5,8,B,95
5,9,B,97
5,10,B,91
5,11,B,83
