case,session,phase,outcome
1,1,A,5
1,2,A,4
1,3,A,1
1,4,A,7
1,5,B,6
1,6,B,8
1,7,B,7
1,8,B,9
1,9,B,10
2,1,A,3
2,2,A,2
2,3,A,5
2,4,A,4
2,5,A,2
2,6,A,4
2,7,A,3
2,8,B,6
2,9,B,9
2,10,B,10
2,11,B,8
2,12,B,5
2,13,B,10
2,14,B,9
2,15,B,9
2,16,B,8
3,1,A,5
3,2,A,5
3,3,A,2
3,4,A,6
3,5,A,2
3,6,A,6
3,7,A,7
3,8,A,7
3,9,A,4
3,10,A,5
3,11,B,4
3,12,B,6
3,13,B,8
3,14,B,7
3,15,B,8
3,16,B,7
4,1,A,2
4,2,A,2
4,3,A,2
4,4,B,6
4,5,B,9
4,6,B,7
4,7,B,10
4,8,B,9
5,1,A,0
5,2,A,0
5,3,A,0
5,4,A,0
5,5,A,0
5,6,A,0
5,7,A,0
5,8,B,6
5,9,B,6
5,10,B,5
5,11,B,4
5,12,B,8
5,13,B,7
5,14,B,8
5,15,B,4
6,1,A,3
6,2,A,1
6,3,A,3
6,4,A,0
6,5,A,1
6,6,A,1
6,7,A,1
6,8,A,1
6,9,A,2
6,10,A,1
6,11,B,8
6,12,B,7
6,13,B,7
6,14,B,9
