case,session,time,phase,outcome
1,1,0,A,25
1,2,1,A,24
1,3,2,A,21
1,4,3,B,66
1,5,4,B,80
1,6,5,B,90
1,7,6,B,100
2,1,0,A,27
2,2,1,A,30
2,3,2,A,30
2,4,3,A,25
2,5,4,B,65
2,6,5,B,88
2,7,6,B,99
3,1,0,A,16
3,2,1,A,31
3,3,2,A,35
3,4,3,A,29
3,5,4,A,30
3,6,5,B,63
3,7,6,B,83
3,8,7,B,100
4,1,0,A,3
4,2,1,A,18
4,3,2,A,21
4,4,3,B,71
4,5,4,B,83
4,6,5,B,91
4,7,6,B,100
5,1,0,A,28
5,2,1,A,30
5,3,2,A,42
5,4,3,A,41
5,5,4,B,68
5,6,5,B,100
5,7,6,B,100
6,1,0,A,26
6,2,1,A,16
6,3,2,A,2
6,4,3,A,17
6,5,4,A,10
6,6,5,B,37
6,7,6,B,55
6,8,7,B,88
7,1,0,A,6
7,2,1,A,10
7,3,2,A,8
7,4,3,B,23
7,5,4,B,65
7,6,5,B,80
7,7,6,B,86
8,1,0,A,6
8,2,1,A,0
8,3,2,A,10
8,4,3,A,10
8,5,4,A,0
8,6,5,B,20
8,7,6,B,70
8,8,7,B,77
9,1,0,A,30
9,2,1,A,40
9,3,2,A,34
9,4,3,A,44
9,5,4,B,60
9,6,5,B,87
9,7,6,B,100
10,1,0,A,17
10,2,1,A,8
10,3,2,A,10
10,4,3,A,14
10,5,4,A,2
10,6,5,B,63
10,7,6,B,81
10,8,7,B,89
