case,session,time,phase,outcome
1,1,0,A,19
1,2,1,A,12
1,3,2,A,13
1,4,3,B,19
1,5,4,B,53
1,6,5,B,69
1,7,6,B,77
2,1,0,A,20
2,2,1,A,26
2,3,2,A,1
2,4,3,A,1
2,5,4,B,6
2,6,5,B,47
2,7,6,B,85
3,1,0,A,12
3,2,1,A,19
3,3,2,A,40
3,4,3,A,25
3,5,4,A,19
3,6,5,B,54
3,7,6,B,67
3,8,7,B,73
4,1,0,A,1
4,2,1,A,20
4,3,2,A,15
4,4,3,B,47
4,5,4,B,54
4,6,5,B,37
4,7,6,B,82
5,1,0,A,24
5,2,1,A,26
5,3,2,A,26
5,4,3,A,34
5,5,4,B,34
5,6,5,B,81
5,7,6,B,82
6,1,0,A,21
6,2,1,A,10
6,3,2,A,1
6,4,3,A,13
6,5,4,A,5
6,6,5,B,21
6,7,6,B,13
6,8,7,B,65
7,1,0,A,0
7,2,1,A,5
7,3,2,A,0
7,4,3,B,13
7,5,4,B,45
7,6,5,B,13
7,7,6,B,45
8,1,0,A,0
8,2,1,A,0
8,3,2,A,0
8,4,3,A,0
8,5,4,A,0
8,6,5,B,5
8,7,6,B,20
8,8,7,B,35
9,1,0,A,27
9,2,1,A,26
9,3,2,A,21
9,4,3,A,35
9,5,4,B,26
9,6,5,B,79
9,7,6,B,98
10,1,0,A,13
10,2,1,A,5
10,3,2,A,0
10,4,3,A,15
10,5,4,A,0
10,6,5,B,26
10,7,6,B,59
10,8,7,B,68
