Study,Study_al,Crit.Cat,effect.size,SE,var.eff.size,Weight,95_CI,CI_LL,CI_UL,phi,ICC,nu,pub.year,CEC1,CEC2,CEC3,CEC4,CEC5,CEC6,CEC7,CEC8,setting1.1,demo2.1,disab2.2,agent3.1,train3.2,proce4.1,mater4.2,adher5.1,dosage5.2,regul5.3,iv6.1,base6.2,no.acc6.3,thr.demo6.4,thr.base6.5,int.val6.6,soci7.1,measu7.2,grah.measu7.3,freq7.4,irr7.5,grah.all8.1,CEC.total,CEC.cnl,OA,NF,G,RP,NS,EE,CCSSM_Content,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8,CCSSM_Practice,MP1.2.3.4.5.6.7,MP1.2.3.4.5.6,MP1.2.4.5.6,MP1.2.4.5.6.7,MP2.4.5
Alghamdi et al. (2020),Alghamdi et al. (2020) One-step single- and two-digit multiplication and division of whole number,"Whole number: M, D",2.807,2.602,6.768,0.148,"[0.694, 7.351]",0.694,7.351,0.166,0.8,2.768,2020,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,20,-0.56,1,0,0,0,0,0,OA,1,1,1,1,1,1,1,0,MP1.2.3.4.5.6.7,1,0,0,0,0
Case et al. (1992),Case et al. (1992) Addition (Equations and answers correct),"Whole numbers (equations, answers): A",0.408,0.438,0.192,5.214,"[-0.433, 1.265]",-0.433,1.265,0.324,0.00001,26.042,1992,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,1,0,0,0,0,0,OA,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Case et al. (1992),Case et al. (1992) Addition (Equations correct),Whole numbers (equations): A,0.639,0.474,0.225,4.447,"[-0.252, 1.573]",-0.252,1.573,0.289,0.144,16.794,1992,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,1,0,0,0,0,0,OA,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Case et al. (1992),Case et al. (1992) Subtraction (Equations and answers correct),"Whole numbers (equations, answers): S",2.927,0.695,0.482,2.073,"[1.706, 4.361]",1.706,4.361,0.291,0.121,18.392,1992,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,1,0,0,0,0,0,OA,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Case et al. (1992),Case et al. (1992) Subtraction (Equations correct),Whole numbers (equations): S,2.88,0.792,0.628,1.592,"[1.512, 4.519]",1.512,4.519,0.396,0.142,14.534,1992,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,1,0,0,0,0,0,OA,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Dennis et al. (2016) ,Dennis et al. (2016) Fraction,"Fractions: M, D",3.256,1.685,2.838,0.352,"[1.046, 6.709]",1.046,6.709,0.677,0.000008,4.696,2016,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,18,-2.56,0,1,0,0,0,0,NF,1,1,1,1,1,1,1,0,MP1.2.3.4.5.6.7,1,0,0,0,0
Dennis et al. (2016) ,Dennis et al. (2016) Percent,"Percentages: M, D",7.003,1.39,1.931,0.518,"[4.687, 9.946]",4.687,9.946,-0.22,0.0000006,16.975,2016,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,18,-2.56,0,0,0,1,0,0,RP,1,1,1,1,1,1,1,0,MP1.2.3.4.5.6.7,1,0,0,0,0
Freeman-Green et al. (2015) ,Freeman-Green et al. (2015) Strategy ,"Whole numbers or decimals (strategy): A, S, M, D",23.05,3.029,9.172,0.109,"[17.729, 29.338]",17.729,29.338,0.211,0.076,33.645,2015,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,0,0,0,1,EE,1,1,0,1,1,1,0,0,MP1.2.4.5.6,0,0,1,0,0
Freeman-Green et al. (2015) ,Freeman-Green et al. (2015) Accuracy ,"Whole numbers or decimals (accuracy): A, S, M, D",4.83,1.112,1.236,0.809,"[3.046, 7.199]",3.046,7.199,-0.044,0.536,12.915,2015,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,0,0,0,1,EE,1,1,0,1,1,1,0,0,MP1.2.4.5.6,0,0,1,0,0
Jitendra & Hoff (1996),Jitendra & Hoff (1996) One-step addition and subtraction of whole numbers ,"Whole numbers: A, S",3.688,0.734,0.539,1.856,"[2.414, 5.219]",2.414,5.219,-0.168,0.000003,20.324,1996,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,20,-0.56,1,0,0,0,0,0,OA,1,1,0,1,1,1,1,0,MP1.2.4.5.6.7,0,0,0,1,0
Jitendra et al. (1999) ,Jitendra et al. (1999) One-step WP,"Whole numbers: A, S",1.547,0.712,0.508,1.97,"[0.304, 2.985]",0.304,2.985,-0.32,0.398,10.134,1999,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,1,0,0,0,0,0,OA,1,1,0,1,1,1,1,0,MP1.2.4.5.6.7,0,0,0,1,0
Jitendra et al. (1999) ,Jitendra et al. (1999) Two-step WP,"Whole numbers: A, S",3.415,1.228,1.509,0.663,"[1.675, 6.023]",1.675,6.023,0.002,0.501,6.722,1999,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,1,0,0,0,0,0,OA,1,1,0,1,1,1,1,0,MP1.2.4.5.6.7,0,0,0,1,0
Jitendra et al. (2002),Jitendra et al. (2002) Applying unit rate for one-step multiplication and division of whole numbers and fractions ,"Whole numbers and fractions: M, D",3.481,0.867,0.751,1.331,"[1.973, 5.274]",1.973,5.274,0.311,0.083,16.61,2002,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,0,1,0,0,RP,1,1,1,1,1,1,1,0,MP1.2.3.4.5.6.7,1,0,0,0,0
